M0312,1,WizardArc,pocket,2,
M0312,2,WizardArc,pocket,2,
M0313,1,CobaltDrake,extreme,3,
M0313,2,SamuraiSaber,pocket,2,
M0313,3,CobaltDrake,extreme,3,
M0314,1,ValkyrieVolt,pocket,2,
M0314,2,ValkyrieVolt,extreme,3,
M0315,1,LeonCrest,spin,1,
M0315,2,LeonCrest,spin,1,
M0315,3,LeonCrest,pocket,2,
M0316,1,CobaltDrake,pocket,2,
M0316,2,WizardArc,pocket,2,
M0316,3,WizardArc,pocket,2,
M0317,1,LeonCrest,spin,1,
M0317,2,ValkyrieVolt,pocket,2,
M0317,3,LeonCrest,spin,1,
M0317,4,ValkyrieVolt,extreme,3,
M0318,1,CobaltDrake,pocket,2,
M0318,2,LeonCrest,spin,1,
M0318,3,CobaltDrake,pocket,2,
M0319,1,ValkyrieVolt,pocket,2,
M0319,2,WizardArc,pocket,2,
M0319,3,ValkyrieVolt,pocket,2,
M0319,4,ValkyrieVolt,burst,2,
M0319,5,WizardArc,spin,1,
M0319,6,ValkyrieVolt,pocket,2,
M0320,1,HellsChain,burst,2,
M0320,2,HellsChain,pocket,2,
M0321,1,CrimsonGaruda,burst,2,
M0321,2,CrimsonGaruda,burst,2,
M0322,1,LeonClaw,pocket,2,
M0322,2,LeonClaw,burst,2,
M0323,1,RhinoReaper,spin,1,
M0323,2,RhinoReaper,spin,1,
M0323,3,ValkyrieVolt,pocket,2,
M0323,4,RhinoReaper,spin,1,
M0323,5,ValkyrieVolt,extreme,3,
M0324,1,SharkEdge,burst,2,
M0324,2,WhaleWave,spin,1,
M0324,3,SharkEdge,burst,2,
M0325,1,DranBrave,pocket,2,
M0325,2,KnightMail,spin,1,
M0325,3,KnightMail,spin,1,
M0325,4,DranBrave,pocket,2,
M0326,1,PerseusDark,spin,1,
M0326,2,PerseusDark,spin,1,
M0326,3,PerseusDark,pocket,2,
M0327,1,SolEclipse,burst,2,
M0327,2,WyvernHover,spin,1,
M0327,3,SolEclipse,burst,2,
M0328,1,SharkScale,burst,2,
M0328,2,WeissTiger,extreme,3,
M0328,3,SharkScale,spin,1,
M0328,4,WeissTiger,spin,1,
M0329,1,DranDagger,pocket,2,
M0329,2,PhoenixWing,spin,1,
M0329,3,DranDagger,pocket,2,
M0330,1,LeonCrest,pocket,2,
M0330,2,LeonCrest,spin,1,
M0330,3,LeonCrest,spin,1,
M0331,1,ScorpioSpear,pocket,2,
M0331,2,ScorpioSpear,pocket,2,
M0332,1,CerberusFlame,burst,2,
M0332,2,CerberusFlame,spin,1,
M0332,3,CerberusFlame,spin,1,
M0333,1,ImpactDrake,burst,2,
M0333,2,ImpactDrake,pocket,2,
M0334,1,FoxBrush,pocket,2,
M0334,2,TuskMammoth,pocket,2,
M0334,3,TuskMammoth,spin,1,
M0334,4,TuskMammoth,extreme,3,
