M0241,2026-01-30,WeissTiger,TuskMammoth,0,5,exhibition,,,,DropAttack
M0242,2026-01-30,DranSword,DranDagger,2,5,exhibition,,,,DropAttack
M0243,2026-01-30,SolEclipse,ScorpioSpear,0,5,exhibition,,,,DropAttack
M0244,2026-01-30,WizardArrow,CrimsonGaruda,0,4,exhibition,,,,DropAttack
M0245,2026-01-30,TyrannoBeat,PerseusDark,0,4,exhibition,,,,DropAttack
M0246,2026-01-30,LeonClaw,WhaleWave,0,4,exhibition,,,,DropAttack
M0247,2026-01-30,WizardArc,GolemRock,5,0,exhibition,,,,DropAttack
M0248,2026-01-30,LeonCrest,HellsChain,0,4,exhibition,,,,DropAttack
M0249,2026-01-30,TuskMammoth,DranDagger,3,5,exhibition,,,,DropAttack
M0250,2026-01-30,ScorpioSpear,CrimsonGaruda,5,2,exhibition,,,,DropAttack
M0251,2026-01-30,PerseusDark,WhaleWave,3,4,exhibition,,,,DropAttack
M0252,2026-01-30,WizardArc,HellsChain,4,0,exhibition,,,,DropAttack
M0253,2026-01-30,DranDagger,ScorpioSpear,2,4,exhibition,,,,DropAttack
M0254,2026-01-30,WhaleWave,WizardArc,5,3,exhibition,,,,DropAttack
M0255,2026-01-30,DranDagger,WizardArc,2,4,exhibition,,,,DropAttack
M0256,2026-01-30,ScorpioSpear,WhaleWave,7,2,exhibition,,,,DropAttack
