M0241,1,TuskMammoth,burst,2,
M0241,2,TuskMammoth,spin,1,
M0241,3,TuskMammoth,burst,2,
M0242,1,DranSword,pocket,2,
M0242,2,DranDagger,extreme,3,
M0242,3,DranDagger,pocket,2,
M0243,1,ScorpioSpear,pocket,2,
M0243,2,ScorpioSpear,extreme,3,
M0244,1,CrimsonGaruda,pocket,2,
M0244,2,CrimsonGaruda,pocket,2,
M0245,1,PerseusDark,pocket,2,
M0245,2,PerseusDark,burst,2,
M0246,1,WhaleWave,pocket,2,
M0246,2,WhaleWave,pocket,2,
M0247,1,WizardArc,spin,1,
M0247,2,WizardArc,pocket,2,
M0247,3,WizardArc,pocket,2,
M0248,1,HellsChain,spin,1,
M0248,2,HellsChain,pocket,2,
M0248,3,HellsChain,spin,1,
M0249,1,DranDagger,extreme,3,
M0249,2,TuskMammoth,spin,1,
M0249,3,TuskMammoth,pocket,2,
M0249,4,DranDagger,pocket,2,
M0250,1,ScorpioSpear,burst,2,
M0250,2,ScorpioSpear,spin,1,
M0250,3,CrimsonGaruda,burst,2,
M0250,4,ScorpioSpear,pocket,2,
M0251,1,PerseusDark,extreme,3,
M0251,2,WhaleWave,burst,2,
M0251,3,WhaleWave,pocket,2,
M0252,1,WizardArc,pocket,2,
M0252,2,WizardArc,pocket,2,
M0253,1,DranDagger,pocket,2,
M0253,2,ScorpioSpear,pocket,2,
M0253,3,ScorpioSpear,pocket,2,
M0254,1,WizardArc,spin,1,
M0254,2,WizardArc,pocket,2,
M0254,3,WhaleWave,burst,2,
M0254,4,WhaleWave,extreme,3,
M0255,1,WizardArc,spin,1,
M0255,2,WizardArc,pocket,2,
M0255,3,DranDagger,burst,2,
M0255,4,WizardArc,spin,1,
M0256,1,ScorpioSpear,spin,1,
M0256,2,WhaleWave,pocket,2,
M0256,3,ScorpioSpear,pocket,2,
M0256,4,ScorpioSpear,burst,2,
M0256,5,ScorpioSpear,burst,2,
